city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
3366880,Hermanus,0,ZA,1579896871,89,-34.42,19.23,20,7.25
988698,Knysna,6,ZA,1579897056,79,-34.04,23.05,17,2.1
4030556,Rikitea,0,PF,1579897056,76,-23.12,-134.97,25.77,7.29
4021858,Guerrero Negro,100,MX,1579897057,43,27.98,-114.06,20.65,4.37
2013176,Yakovlevka,0,RU,1579897057,86,44.42,133.48,-22.93,1.65
6170031,Tuktoyaktuk,90,CA,1579896878,77,69.45,-133.04,-19,4.6
5106841,Albany,40,US,1579897057,38,42.6,-73.97,9,1.5
1819729,Hong Kong,40,HK,1579896632,88,22.29,114.16,22.22,7.2
3557758,Guane,57,CU,1579897059,60,22.2,-84.09,24,4.31
3831208,Qaanaaq,0,GL,1579897060,52,77.48,-69.36,-22.38,4.24
4020109,Atuona,21,PF,1579896732,75,-9.8,-139.03,27.06,5.43
3915350,Guayaramerin,20,BO,1579897060,59,-10.84,-65.36,32,3.6
3412093,Vestmannaeyjar,100,IS,1579896968,90,63.44,-20.27,1.7,11.03
3115824,Muros,40,ES,1579897061,93,42.78,-9.06,11.11,0.5
6201424,Mataura,98,NZ,1579897061,96,-46.19,168.86,15,3.13
5914132,Campbell River,75,CA,1579896925,93,50.02,-125.24,8.33,2.6
3471451,Arraial do Cabo,90,BR,1579896871,88,-22.97,-42.03,24,2.6
3893726,Constitucion,0,CL,1579897061,46,-35.33,-72.42,20.38,6.25
506278,Porkhov,54,RU,1579897062,86,57.77,29.56,5,4
2155415,New Norfolk,75,AU,1579896856,51,-42.78,147.06,16,5.7
3369157,Cape Town,75,ZA,1579896855,93,-33.93,18.42,20.56,5.1
4031574,Provideniya,94,RU,1579897062,97,64.38,-173.3,-23.24,2.22
5855927,Hilo,90,US,1579897062,64,19.73,-155.09,24.44,1.5
2577164,Orodara,88,BF,1579897062,36,10.95,-4.93,26,2.1
2094342,Kavieng,17,PG,1579897063,69,-2.57,150.8,28.36,3.65
2381972,Adrar,21,MR,1579897063,30,20.5,-10.07,24.18,4.23
3424607,Tasiilaq,100,GL,1579896869,52,65.61,-37.64,-7,12.3
3451138,Rio Grande,20,BR,1579897063,45,-32.03,-52.1,31,3.6
3664539,Coari,100,BR,1579897063,62,-4.08,-63.14,32.79,0.6
5848280,Kapaa,1,US,1579897063,77,22.08,-159.32,23.89,3.1
1640972,Katobu,6,ID,1579897064,92,-4.94,122.53,24.05,0.29
4013679,Coahuayana Viejo,40,MX,1579897064,51,18.73,-103.68,27,4.1
3355595,Mariental,0,NA,1579897064,8,-24.63,17.97,31,5.1
3833367,Ushuaia,40,AR,1579897064,54,-54.8,-68.3,14,3.12
5847411,Kahului,1,US,1579897064,65,20.89,-156.47,25,2.9
2063036,Port Lincoln,0,AU,1579896908,84,-34.73,135.87,16.32,3.64
1283190,Kirtipur,40,NP,1579897065,93,27.67,85.28,5,1.5
2120591,Tilichiki,100,RU,1579896900,85,60.47,166.1,-4.14,7.94
3374210,Sao Filipe,0,CV,1579896874,70,14.9,-24.5,22.74,4.96
1726449,Basco,78,PH,1579897066,76,20.45,121.97,24.59,9.36
2206939,Bluff,100,NZ,1579897039,96,-46.6,168.33,15,3.13
2427637,Mongo,0,TD,1579897066,12,12.18,18.69,15.59,3.16
2171099,Codrington,67,AU,1579896903,88,-38.27,141.97,15.9,7.52
3443061,Chui,0,UY,1579897067,52,-33.7,-53.46,27.17,3.27
1644605,Galesong,40,ID,1579897067,94,-5.32,119.37,24,1.5
2075265,Busselton,37,AU,1579897067,85,-33.65,115.33,13.89,0.45
2136825,Isangel,39,VU,1579897067,94,-19.55,169.27,23,4.5
5122534,Jamestown,90,US,1579896875,70,42.1,-79.24,8,5.7
3899695,Ancud,75,CL,1579897069,55,-41.87,-73.82,19,7.2
546105,Nikolskoye,90,RU,1579897069,89,59.7,30.79,2,5
4957320,Bar Harbor,1,US,1579897069,64,44.39,-68.2,3.89,2.1
4032243,Vaini,20,TO,1579897069,78,-21.2,-175.2,27,3.1
1040652,Maputo,24,MZ,1579897070,77,-25.97,32.59,24.04,2.4
6165406,Thompson,75,CA,1579896920,78,55.74,-97.86,-8,3.1
1490256,Talnakh,75,RU,1579896916,77,69.49,88.4,-14,5
2015306,Tiksi,0,RU,1579897071,88,71.69,128.87,-35.81,2.62
2264557,Ponta do Sol,40,PT,1579896855,59,32.67,-17.1,16,2.6
5903851,Blind River,90,CA,1579897071,59,46.18,-82.96,2,6.7
2163355,Hobart,75,AU,1579897037,51,-42.88,147.33,16,5.7
3466704,Castro,2,BR,1579896849,77,-24.79,-50.01,20.31,2.5
5880054,Barrow,1,US,1579896923,75,71.29,-156.79,-29,3.6
2537881,Safi,100,MA,1579897072,82,32.3,-9.24,13.55,7.69
